Component1_fraction,Component2_fraction,Component3_fraction,Component4_fraction,Component5_fraction,Component1_Property1,Component2_Property1,Component3_Property1,Component4_Property1,Component5_Property1,Component1_Property2,Component2_Property2,Component3_Property2,Component4_Property2,Component5_Property2,Component1_Property3,Component2_Property3,Component3_Property3,Component4_Property3,Component5_Property3,Component1_Property4,Component2_Property4,Component3_Property4,Component4_Property4,Component5_Property4,Component1_Property5,Component2_Property5,Component3_Property5,Component4_Property5,Component5_Property5,Component1_Property6,Component2_Property6,Component3_Property6,Component4_Property6,Component5_Property6,Component1_Property7,Component2_Property7,Component3_Property7,Component4_Property7,Component5_Property7,Component1_Property8,Component2_Property8,Component3_Property8,Component4_Property8,Component5_Property8,Component1_Property9,Component2_Property9,Component3_Property9,Component4_Property9,Component5_Property9,Component1_Property10,Component2_Property10,Component3_Property10,Component4_Property10,Component5_Property10,BlendProperty1,BlendProperty2,BlendProperty3,BlendProperty4,BlendProperty5,BlendProperty6,BlendProperty7,BlendProperty8,BlendProperty9,BlendProperty10
0.31,0,0.19,0.5,0,-0.056714362,0.642588209,0.190995536,-0.405549583,1.032028863,-0.093375249,2.318642651,-1.543739174,-2.355226989,0.367120345,1.020174246,1.157871223,-1.042902897,0.099036883,1.15884887,0.740053689,-0.231042888,-0.739340104,-1.152326574,-0.082380459,1.568826247,-0.764364017,-1.906547278,-0.702669284,-0.066606413,0.622076043,-0.525944251,-0.710007752,-0.358358682,1.244297764,0.872492748,-0.944240763,1.149816202,0.387115147,-0.509566786,0.277476589,0.367132451,0.51635702,-1.391421518,-0.475667575,1.847659808,-0.995653592,0.69374261,0.389190256,-0.110280747,-0.197753693,-0.955273495,-0.828913099,1.705019346,-0.721962964,-0.653123683,-2.013713891,1.102439221,-0.887832265,0.805018802,-0.596992953,1.071961968,-0.483249531,-0.088532956,0.518779553
0,0,0.5,0.5,0,-0.075476491,-0.384491917,-0.758326577,0.300828204,1.032028863,-1.116353763,-0.102059549,1.484773674,-0.356194508,-1.843482469,1.325417625,-0.296005038,-0.700504395,-0.409030268,0.800030394,-0.300805161,-1.344738222,-2.764732467,1.073549817,-0.780422108,-0.803318392,-0.72271553,0.163303834,-0.069944098,0.13217545,-0.691216397,-1.044477994,-0.487308991,-1.713958428,-0.61200622,-2.188243856,-0.625696804,0.817944766,-1.953767595,-0.613653902,-0.482254964,-0.406483642,-1.189229944,0.761920209,0.746865604,-2.144563032,0.467321204,0.029951873,-0.305503914,-0.694903457,-1.260888507,-1.805663934,0.291118191,-0.847503039,0.637728355,-0.542416245,0.760112474,0.833878506,-1.52261274,2.394036876,-1.190519782,0.80855632,-0.053866835,-0.628932796,0.735073429
0.04,0.35,0.15,0.25,0.21,-1.883676707,0.018231158,2.082245819,-0.000359261,-2.828860473,0.848617466,-0.028248144,0.216611998,0.208612546,-1.427092029,-0.26164844,0.964411881,-1.375345438,0.372881567,-1.227293991,-0.991326155,0.604228612,0.56714166,0.485391135,-0.166829602,-0.511768689,1.703117255,-0.304789703,0.384420285,1.165240835,0.784613577,-0.264070415,-0.504448063,-1.23838737,-2.023626709,0.722841728,-0.085347202,-0.681130125,-1.272883796,-0.46349544,0.669224775,2.4184473,-2.385692469,0.742021013,-1.478434201,-0.93056029,0.529270828,-1.172175423,-2.341632008,-0.065988781,-1.57715427,-1.601279733,0.392733426,0.445159904,-0.095825805,0.008615711,0.166242659,-0.228250552,0.849652577,0.472937286,-0.754731382,-0.233806909,0.084870314,-0.820471802,-0.330700532
0.26,0.19,0.11,0.21,0.23,-0.064984511,-0.229467383,-0.634927691,-0.17469931,1.032028863,-0.319610882,-0.525695429,-0.231649835,0.278550509,-2.751170823,0.812189787,2.174672675,-0.339059706,-0.126659285,-0.946035509,0.044455335,-0.726773128,-1.199028131,-0.361354553,1.630119879,0.106995604,-0.560209773,-0.22102743,-0.266791934,-0.026495317,-1.457484101,0.906372763,-1.211298295,0.849041789,-1.609760011,-0.734567259,-1.076652646,1.407429113,0.332177794,-1.014401485,0.894124128,0.188937075,-0.397113487,-1.537929347,-0.023668535,0.524452765,0.191163545,-0.268356593,2.179801119,0.330061077,0.50195113,-0.172319467,-0.777476674,0.046904905,-2.124621083,1.070476599,-0.368132002,-0.323332473,0.943962819,-0.711272885,-0.148324855,-0.32705346,0.215851062,1.94327268,-0.264201524
0,0.04,0.32,0.5,0.14,-0.259888473,0.095743425,1.264915551,0.21385857,0.004227606,0.735171771,-0.000179019,-0.149784645,-0.004184478,-0.024063135,-0.00628143,-1.612440487,0.33318413,-0.42909215,0.307069012,0.628351764,-0.862589632,-2.519335099,-0.117978547,-0.066345812,-0.406922517,-1.128468896,0.408669829,-1.001846749,1.696235352,-1.77633375,1.43853,0.562322667,0.37916536,-1.288823715,-0.081399207,2.06325069,-1.335399687,-0.788416944,0.431726883,-0.643781467,-0.380116242,-0.094532032,0.306477365,0.767351578,-1.698235204,0.215255066,2.169768735,-0.06878028,-1.82368461,-1.554899288,-0.893024499,-0.075602137,-0.268316233,1.726105121,1.964844768,1.297461893,0.608287505,0.214872103,-1.008595466,1.331779834,0.587016471,1.750740538,1.245808283,1.973634669
0.5,0.14,0,0.16,0.2,0.666861968,-1.718895404,-1.502616695,-0.368878055,-0.796531458,-1.149469413,0.5981092,0.073847094,-0.629648628,0.122898197,-0.847197013,1.888066244,0.176918821,1.467257207,-0.096739779,1.339182198,-0.169925461,0.822907931,-0.655433894,0.056586484,-0.173811663,-0.488155334,0.970974157,-0.822184042,-0.282988043,-1.126048282,0.885685235,-1.161846071,0.479029727,0.019594106,1.181036895,0.93890383,3.162741756,0.480445014,1.10999948,0.3539696,-1.053260474,-1.059437368,-0.315745614,-1.652347042,0.750469865,-0.515750502,0.082366364,0.503272522,1.687020068,0.551769623,-0.120099476,0.484036223,0.440034357,-0.929520329,0.115028464,-0.373540652,0.225674197,0.682795996,-0.67357281,-0.256211273,0.211492946,0.411078232,-0.144103708,-0.736027821
0.01,0.2,0.34,0.34,0.11,-0.657102501,-0.348376311,0.300106129,-0.664454576,1.032028863,-0.614700838,-0.060475659,-0.434815275,-2.748338002,1.273144089,1.194741538,2.550517927,0.329721187,0.217903531,-0.78815538,-0.021550348,1.351219385,-1.288891956,-0.259947884,0.887181218,-0.823084474,0.849451009,1.468497683,0.593766396,1.734572829,1.186694352,0.349659598,0.123911774,-0.350580651,-3.215209511,-0.068602445,-0.979074951,0.936819525,-0.141895505,1.443224508,0.100478199,-0.300841703,1.715833305,-0.604159584,-0.970120526,0.693741811,-0.303194457,-1.416461011,0.288826001,-1.107982677,0.810866623,-0.671348911,0.059842922,0.431833482,1.34633405,0.174080384,-0.319724581,0.647143098,-0.133350329,0.026284974,-0.360915649,0.62523487,0.857729899,-0.330754546,0.098032205
0.24,0.26,0,0.5,0,-0.822999224,-0.784659642,0.110161772,0.667142699,-0.084429357,1.687656573,0.835137373,0.913714057,-0.063847195,1.027495132,-0.30354459,-1.200769431,2.094090713,-0.541940234,-1.133449159,-2.722705999,-0.380441042,1.0717616,1.763115168,0.366589667,0.756268415,-0.30265348,1.457700883,0.07821254,1.109440024,1.229730934,-0.665206638,-0.14136175,1.213081434,-0.818891568,0.925101658,-0.684872954,-0.41450229,-0.271920978,0.390774575,1.295279222,-0.72340946,-1.710811256,0.405102754,1.674313585,-1.014141862,0.6603287,0.500925404,1.554283246,0.879609549,0.650794087,-1.223981657,-1.037048264,-0.269853897,0.390322748,-1.384293819,-1.059627957,-0.383215798,-1.446439083,-0.576515169,-0.323337233,-0.385887593,-0.500225807,0.086797914,0.019417435
0.05,0.25,0.22,0.45,0.03,0.600453905,-1.134401805,0.012741599,1.899947279,1.032028863,-0.556338602,1.865898048,0.750233266,-0.358846185,1.273144089,-0.362398705,-0.673804424,-0.562419538,-1.281220571,0.146704755,0.095228938,0.746835942,-0.590719162,-1.456546582,0.08544885,0.554740322,0.661649546,0.783249145,-0.948468698,-0.419011047,0.854852527,1.11476177,-0.439275925,-1.513535228,-0.701192525,0.218791498,-0.337580297,-0.447047693,0.094398748,-1.904504769,0.685191763,1.04596377,0.20674346,0.257724335,1.191803521,2.00217942,-1.422693002,-1.153726279,-0.46214719,-0.135356093,1.158575206,-1.690503293,-0.943859045,0.536907194,1.009876284,-0.381842742,-0.353528646,-0.099569971,-1.109098602,-0.071975861,-1.217794438,-0.107575184,-0.567984563,-0.991300411,-0.179391194
0.5,0.08,0,0.31,0.11,1.450798044,0.742246838,0.82407678,0.164562418,1.024912865,2.540794424,0.688554161,2.269231881,0.402184917,0.412778235,0.419662762,-1.220962157,-0.444679471,0.734998529,1.437899238,0.039377975,-0.197088762,-1.354561675,-2.308362604,-0.223485356,-1.370518994,1.379383303,0.124818465,-1.65774582,0.564802277,0.699217087,-0.952813742,-0.299870868,1.960466909,0.614521485,-1.717074195,-0.889261502,-0.288293355,-0.655421884,1.822642764,0.476506947,-0.675844737,-0.668150925,0.024033154,-0.451607452,-0.561324434,-1.37024232,-0.316418978,0.335607938,1.336355806,-0.486455945,-1.239889734,-0.356050125,-0.082771433,-0.242744541,0.682523379,0.626248377,-1.067759918,-0.829795193,0.303554323,0.840229915,-1.057643358,0.057503387,-0.206492169,-0.547132087
0,0.08,0.5,0.28,0.14,0.554659497,-0.573587777,0.866641902,-0.668662784,-2.007506874,0.062366672,-0.397305169,0.38957717,-1.238871261,0.815613989,-0.455667516,-0.333784976,-1.375345438,-1.297771623,-0.461078539,-0.209412677,0.903024922,1.845973015,-0.057134546,0.492728893,0.227525732,0.991771302,0.701054148,1.400425913,-0.629662521,-0.662390007,-0.690771714,1.94949578,-0.205575924,-0.054807817,-0.490895585,-0.846453223,-1.281310144,0.747071473,-0.864121141,-1.191610051,-1.37794141,1.593776045,-0.586747787,-1.3869883,0.934416455,-0.16043499,-0.907832304,-1.716700375,0.07946385,0.613838566,-0.500510002,1.201379416,-0.69373663,-0.675877606,0.611899669,1.071109873,0.488749417,2.07931304,0.100749307,2.026071365,0.469665369,1.365847391,-0.340402246,0.550996464
0,0.5,0.02,0.48,0,0.937308188,-0.395224385,-0.639923598,-0.051859712,0.36932016,0.795173396,0.549767927,0.42676593,0.145635234,0.451777682,0.688995156,-1.351889186,1.178142254,-0.99333257,-0.884760354,0.887297136,0.047380946,0.905859154,1.392980825,-0.822112191,-0.118380695,0.352735301,-0.878587399,-0.85707506,-0.719025678,0.588783593,-0.942554073,-0.817208822,0.167491793,-0.210619844,-0.634859156,2.116761039,-1.016363058,-0.443944891,-0.286401086,0.162984623,0.858289917,-1.39647614,-1.069552026,0.742681235,-1.609618598,2.070577482,-0.359183147,0.331621507,0.932181848,-1.451995514,-0.316183811,0.259174788,-0.332898124,0.323447002,-1.899894623,-1.551815145,-0.390758354,-1.203408844,-0.233604908,-1.91905616,-0.393182392,-1.746372249,-1.546879299,-0.549334953
0,0.09,0.48,0.22,0.21,-2.232133885,1.698799318,0.529717982,1.344664202,0.353246376,1.412895037,-1.613633953,1.08642964,-1.666122607,1.273144089,0.194720338,-1.776587807,0.073896263,0.236962319,1.437899238,0.892374497,0.067753421,-0.753165307,0.505672469,-0.96856197,-0.755407129,-0.054040114,1.368017783,0.770044153,-1.604198449,-0.315255309,0.855410803,-0.47846654,0.763066764,0.042826707,0.635041723,-2.133429576,-0.110592397,0.99375928,-1.84319819,-0.762976886,-0.711345943,-0.495161129,-0.853894491,-0.132287784,1.188629748,1.577458472,-0.646422127,-1.061987759,1.644134196,0.068693577,-0.19479827,-0.182499352,0.245263573,-1.808953705,1.978683198,2.174204125,0.993643561,0.824261358,-0.44643654,1.241773467,0.965077317,0.310537703,0.599283742,-0.049009081
0.03,0.29,0.3,0.15,0.23,-1.607182169,0.55706918,-0.140033215,0.221874205,-0.278068219,-0.183541625,1.016027295,0.808637091,0.818498098,1.273144089,-1.40481482,-0.486207488,-0.133880325,0.925586404,1.004556925,-0.564827894,1.33084691,-0.760077909,0.4042658,-0.670317529,-0.153401036,-0.280168407,-0.554683389,0.8572717,0.288526867,-0.157995847,-0.145327365,-0.03416068,0.504586115,0.35397075,-1.038490352,0.026080231,-1.530977698,-1.440877556,-0.848642144,0.704624453,-1.17355097,-0.09021231,-0.794943123,0.707898667,0.695532045,1.42065709,1.335299764,1.674462406,0.175000137,-0.053810915,-0.766105715,0.519123662,-0.74396699,1.678633737,0.633492391,1.882407435,-1.134957238,0.650150143,-0.564750606,0.855230976,-1.123613707,0.216582798,1.841135695,-0.39885169
0.33,0.28,0,0.23,0.16,-1.096901625,0.617375428,-0.098467275,-1.234967359,0.335330805,1.112559037,-0.834455813,-1.128173499,-0.291891358,0.313852808,-0.474620536,-0.350720811,2.110972561,0.164739545,-0.89497288,-0.173871155,0.583856137,-0.303846183,0.084834791,-0.264106463,-0.79536899,1.18008379,0.112628529,-1.382263003,-0.317368983,0.957842588,-1.433168062,-0.573113514,-0.318774058,-0.485762957,-1.315042594,-0.65675379,-0.935228743,1.616099798,0.605652309,-1.534095748,-0.708588568,0.689648192,-0.029445934,1.614511977,0.316673678,0.665835333,0.408490462,0.621810211,0.555114261,0.075635498,0.187341394,0.43184523,0.170943142,-1.066043871,-0.588226219,-0.176665777,-1.771274711,-0.278443009,0.199277519,-0.484560758,-1.747953283,-0.712868295,0.975286773,-0.825932277
0.07,0.2,0.16,0.5,0.07,-0.129787918,2.296580735,-0.658308533,-1.397283956,-1.249443798,-1.255046042,-1.498238658,0.005958887,0.525156406,-0.439026765,0.481010696,-0.921979539,-0.327372273,2.774288793,-1.064997634,1.593050211,-0.183507111,-0.722058599,0.967072814,-2.326162114,0.9339483,0.665737741,-1.975159203,0.87523797,1.895153647,0.547641703,0.977013104,-1.261951347,0.019709198,-1.723618954,-0.62561705,-1.083577515,-0.000732562,-0.722237584,0.563481182,-0.481388538,0.381608671,-0.216991127,-0.766089289,0.282923677,-1.654710128,-0.724727234,-1.98147787,-0.348064924,0.15164335,-0.150793637,0.551152188,1.869675652,0.298569261,-0.211905467,-0.358818458,-0.037933894,0.481435423,-0.028158136,-0.06983685,-0.346672217,0.462687736,-0.542373802,-0.675370393,1.287442004
0.07,0.12,0.48,0.23,0.1,2.513327053,-1.718895404,-0.069191264,-2.155963758,0.961287472,-0.245182638,1.831591339,-0.872344781,-0.562693801,1.212980308,-0.734975183,-1.302384438,-0.550732105,1.491331465,1.278363023,0.582655522,1.425918462,-0.856854336,0.809892477,0.689420567,-0.905371531,0.268671789,-0.628171288,2.170892508,-1.10035396,-0.075441397,-1.454528356,0.778908128,-0.688925014,-0.464738413,-0.892571721,-1.419748412,0.468043482,-0.065110478,0.836374685,0.292700926,-0.67360437,-0.353313515,0.239317579,-0.353449127,-0.112982592,1.519225825,0.340465157,0.781853678,0.486449996,0.059709914,0.320830906,-0.264495804,-0.016651877,1.244461153,-0.377309463,-0.021707943,0.664742396,-0.173250816,-0.277588329,0.290342536,0.64252037,0.181459469,0.358605784,-0.961683876
0.24,0.13,0,0.5,0.13,1.231824245,0.99846321,0.232061885,-1.090485547,1.032028863,-2.533769184,-0.321934368,-0.01201152,2.982265969,0.617763134,-1.695594052,-1.81632188,1.075985432,-0.797729224,-1.377721736,0.745131049,-0.876171282,0.041783914,0.749048475,0.065138296,-1.719218455,-0.307763724,-0.682329432,0.690107268,-0.468126676,-0.068403968,-0.333197034,-1.280946241,0.15151905,-0.42710544,0.814374122,-0.191738366,0.873103877,0.61131894,-0.161228407,-0.86162564,-0.710828936,0.772627037,0.510319752,-0.856096468,0.355163719,1.207550382,-0.867906465,1.239237974,-0.141761633,0.229174461,0.923954503,-0.83784216,-2.40310654,-0.133595008,0.972653216,1.484601197,0.775595117,0.933080868,-0.579188933,0.27367469,0.75114943,0.697918752,1.130550426,1.263898876
0.08,0.22,0.03,0.5,0.17,-1.039998062,-0.816516332,-0.351959559,0.498213203,-1.497750268,-0.414367546,0.673999799,-1.006124481,0.872194544,1.273144089,-0.212270834,1.138981253,0.240117533,1.680414699,1.19031449,-0.244954199,0.515947885,-0.936349258,-2.790044283,0.038413884,1.709552153,-0.950376896,-0.568092318,1.159834114,1.672086835,-1.307938744,0.233271226,-0.333384848,0.059571609,-0.332158986,0.190887448,-1.815724994,1.142482027,-0.476610344,1.936724193,1.247130708,-0.348061754,-1.380000921,2.298635606,1.75904706,-2.107863226,-0.104955659,1.050331449,-1.382778181,0.403021742,-0.176723755,-0.554113304,-1.340259071,-0.669646559,-0.068798302,0.712824768,1.642804222,0.651485782,0.066152106,-0.915414783,0.49672077,0.629516599,1.903234324,1.14714447,1.655045217
0,0,0.5,0.5,0,0.210892851,-1.718895404,0.899115292,-0.787694956,0.005901958,-0.494369711,-0.438889059,-1.556468212,1.082008432,1.273144089,-1.647712738,1.578661574,0.675582632,0.27056597,-1.076314217,1.775835179,0.088125897,1.787215899,-0.721348229,1.26132299,0.677633786,-0.381862261,1.261617057,0.327657284,0.110619146,0.787996956,0.208378915,0.441912504,0.100406273,-0.057783894,-0.10823686,0.05587815,-0.354912115,2.728846343,-0.252396044,0.079312657,-0.71530967,-0.651474789,1.027201363,0.642605073,1.797085685,-1.422693002,0.795070985,0.088097492,0.536600688,2.845870406,1.771578321,-1.428669355,0.296006487,0.889638545,0.12302135,-0.183967455,1.478195659,0.69005063,3.237208421,0.444141293,1.440825025,0.868559592,0.066473425,-0.077646335
0.5,0,0,0.5,0,0.029196441,0.357070496,-0.926688618,0.101840079,1.032028863,-0.070423808,-0.375993425,0.46170839,1.821826123,-1.593315283,-1.633747354,1.145495036,-1.066277763,0.089507489,1.437899238,-0.706993981,-1.562044628,-0.248545367,-0.538816225,-0.269451345,1.807308318,1.42793062,0.285899761,-0.430050655,-0.239875436,1.291579105,1.83916165,-0.280330143,0.17263085,-0.083416556,0.947318258,0.322800361,1.171665933,0.83912866,0.913891554,-0.815828853,1.938146999,-0.457187759,-0.364996124,0.690725318,-1.564079509,0.448185653,0.350872366,0.914695618,1.599764114,-2.095552445,-0.715269035,-0.389754188,-2.20987342,0.41353868,-0.746890974,-0.296196951,0.81353646,-1.330364939,2.693498468,0.072902914,0.788416334,-1.015953354,-0.329210914,-0.627536685
